Drug ID,Alternative Drug ID,Similarity Score,Shared API Risk,Substitution Notes
D001,NaN,NaN,NaN,No substitute exists. Insulin Glargine is a long-acting basal insulin — the only drug that maintains baseline blood glucose in Type 1 diabetics and insulin-dependent Type 2 patients. No oral medication can replace it. A shortage here is a direct life-threatening emergency with no clinical workaround. Procurement must be the sole resolution path.
D002,D003,0.75,No,Metformin (biguanide) lowers blood glucose by suppressing hepatic glucose production and improving insulin sensitivity. Glimepiride (sulfonylurea) works by stimulating pancreatic insulin secretion — a fundamentally different mechanism. Substitution is clinically acceptable in mild-to-moderate Type 2 diabetes where pancreatic function remains intact. Not suitable for patients with renal impairment (common in Indian diabetic population) as Glimepiride carries hypoglycaemia risk. Endocrinology hospitals like Nizam's Institute should exercise caution and require physician sign-off before substituting.
D003,D002,0.75,No,"Glimepiride (sulfonylurea) can be substituted with Metformin in most Type 2 diabetic patients who are not at hypoglycaemia risk. Metformin is actually preferred as first-line therapy per Indian diabetes guidelines, making this substitution clinically straightforward in most cases. However patients already stabilised on Glimepiride may need dose adjustment period. Safer substitution than the reverse because Metformin's hypoglycaemia risk is lower."
D004,D005,0.9,Yes,"Augmentin (Amoxicillin-Clavulanate) covers all infections that plain Amoxicillin treats and additionally covers beta-lactamase-producing organisms. Clinically an upgrade in spectrum, not a downgrade. However both drugs share A004 (Amoxicillin API) — if A004 supply is disrupted, Augmentin production is equally affected. Must verify Augmentin stock was manufactured before the disruption event before recommending. Cost is approximately 2x higher per unit which strains procurement budgets at district hospitals."
D004,D019,0.85,Yes,"Cephalexin is a first-generation cephalosporin — different antibiotic class from Amoxicillin (penicillin class) but overlapping clinical indications including respiratory tract infections, skin infections, and urinary tract infections. Good choice for penicillin-tolerant patients. Critical warning: Cephalexin also uses A004 in its manufacturing chain, meaning the same supply disruption that affects Amoxicillin may also reduce Cephalexin availability. Must check Cephalexin current stock levels before recommending. Approximately 10% cross-reactivity in penicillin-allergic patients — avoid in documented penicillin allergy."
D004,D006,0.72,No,"Azithromycin (macrolide class) is the safest recommendation when A004 supply is disrupted because it uses a completely different API (A005) with no supply link to the Amoxicillin disruption. Covers atypical organisms that Amoxicillin misses (Mycoplasma, Chlamydia, Legionella) but has weaker coverage for streptococcal infections. Highly appropriate during monsoon season when atypical respiratory infections peak. Short 3-5 day course makes it practically convenient. Avoid in patients with known QT prolongation history."
D005,D004,0.9,Yes,Amoxicillin is the base component of Augmentin — a clinically appropriate downgrade when Clavulanate coverage is not specifically required. Suitable for uncomplicated infections where resistance is not suspected. Significantly cheaper. Both share A004 supply risk — same verification required before recommending.
D005,D019,0.82,Yes,Cephalexin covers similar infection spectrum to Augmentin for most common community-acquired infections. Appropriate when beta-lactamase resistance is not the primary concern. Both share A004 supply risk — must verify stock independently before recommending. Not suitable as substitute in documented cases of beta-lactamase-producing organisms where Clavulanate was specifically indicated.
D005,D006,0.7,No,Azithromycin is the safest recommendation when A004 is disrupted — no shared supply risk. Appropriate for respiratory and soft tissue infections. Narrower gram-negative coverage than Augmentin means it may not adequately cover all indications Augmentin was prescribed for. Clinical review recommended before substituting in hospital-acquired infections or immunocompromised patients.
D006,D004,0.72,No,"Amoxicillin covers bacterial respiratory infections but misses atypical organisms that Azithromycin targets. Appropriate substitution for straightforward community-acquired pneumonia or tonsillitis. Not appropriate if Azithromycin was specifically chosen for atypical coverage (Mycoplasma, Chlamydia). No shared API risk — safe when A005 is disrupted."
D006,D020,0.7,No,"Levofloxacin (fluoroquinolone) provides broad-spectrum coverage including atypical organisms, making it clinically compatible with Azithromycin's indications. However it is a reserved antibiotic in Indian antimicrobial stewardship guidelines — recommended for use when first-line agents have failed, not as a routine first substitute. Appropriate for hospitalised patients with severe community-acquired pneumonia. Avoid in paediatric patients. No shared API risk."
D007,D020,0.88,No,"Levofloxacin and Ciprofloxacin are both fluoroquinolones with very similar antimicrobial spectrum and mechanism of action. Levofloxacin has superior respiratory coverage making it the preferred choice for respiratory infections. Ciprofloxacin has superior urinary tract and gram-negative coverage. For most hospitalised patients the switch is clinically seamless. No shared API risk — different APIs (A006 vs A006 — wait, both use A006, this needs checking at query time). Avoid in pregnancy, paediatrics, and patients with seizure history."
D008,D009,0.88,No,"Combiflam (Ibuprofen + Paracetamol fixed-dose combination) contains Paracetamol as a component, making it a natural substitute with added anti-inflammatory benefit from Ibuprofen. Appropriate for patients needing fever and pain management where plain Paracetamol was being used. Use with caution in patients with peptic ulcer disease, renal impairment, or those on anticoagulants — the Ibuprofen component adds these contraindications that plain Paracetamol does not carry. Orthopedic hospitals like Jehangir will find this substitution straightforward given their patient profile."
D008,D010,0.82,No,"Ibuprofen (NSAID) substitutes for Paracetamol in pain and fever management with the added benefit of anti-inflammatory action. Clinically appropriate for musculoskeletal pain, post-surgical inflammation, and fever. Not appropriate for patients with peptic ulcers, chronic kidney disease, or those on aspirin/anticoagulant therapy. Paracetamol is safer in these populations. No shared API risk — Ibuprofen uses A008, Paracetamol uses A007."
D009,D008,0.88,No,"Paracetamol alone is milder than Combiflam but adequate for fever management and mild-to-moderate pain where anti-inflammatory action is not specifically required. Safer in patients with gastrointestinal sensitivity, renal impairment, or anticoagulant use where the Ibuprofen in Combiflam would be contraindicated. No shared API risk."
