Drug ID,Alternative Drug ID,Similarity Score,Shared API Risk,Substitution Notes
D001,NA,NaN,NaN,No alternative. Insulin is irreplaceable for insulin-dependent diabetics.
D002,D003,0.75,No,"Both manage blood sugar. Different mechanisms — Metformin reduces glucose production, Glimepiride stimulates insulin release. Usable in mild-moderate Type 2 cases only."
D003,D002,0.75,No,Reverse of above. Same clinical reasoning applies.
D004,D005,0.9,Yes,"Augmentin is Amoxicillin + Clavulanate. Nearly identical use case, stronger spectrum. More expensive. Check A004 supply before recommending."
D004,D019,0.85,Yes,"Cephalexin is same infection class, different antibiotic family. Good substitute but both use A004 — must verify Cephalexin stock is unaffected before recommending."
D004,D006,0.72,No,Azithromycin is different mechanism but widely used as antibiotic fallback. Safe recommendation when A004 is disrupted.
D005,D004,0.9,Yes,Reverse — simpler and cheaper. Check A004 supply.
D005,D019,0.82,Yes,Both share A004 risk. Caution applies.
D005,D006,0.7,No,Safe fallback when A004 disrupted. Different mechanism.
D006,D004,0.72,No,Reverse of D004?D006.
D006,D020,0.7,No,"Both broad spectrum antibiotics, different classes. Acceptable fallback."
D007,D020,0.88,No,"Both fluoroquinolones, very similar spectrum and use case. Clean substitute."
D008,D009,0.88,No,Combiflam contains Paracetamol — very close substitute. Slightly stronger due to Ibuprofen component.
D008,D010,0.82,No,"Both common painkillers. Ibuprofen has anti-inflammatory benefit Paracetamol lacks, but widely substituted."
D009,D008,0.88,No,Reverse — Paracetamol alone is milder but acceptable.
D009,D010,0.85,No,Combiflam and Ibuprofen share active ingredient. Clean substitute.
D010,D008,0.82,No,Reverse of D008?D010.
D010,D009,0.85,No,Reverse of D009?D010.
D011,D012,0.95,Yes,Same drug different dose. Higher dose can be halved in some cases. Both share A009 — if A009 disrupted both are affected.
D011,D015,0.6,No,"Both cardiovascular but different mechanisms — calcium blocker vs beta blocker. Last resort only, requires physician decision."
D012,D011,0.95,Yes,Reverse. Both share A009 risk.
D012,D015,0.6,No,Same last resort reasoning as D011?D015.
D013,D014,0.95,Yes,Same drug different dose. Both share A010 — if A010 disrupted both affected simultaneously.
D014,D013,0.95,Yes,Reverse. Both share A010 risk.
D015,D016,0.95,Yes,Same drug different dose. Both share A011 risk.
D015,D011,0.6,No,Reverse of D011?D015. Last resort.
D016,D015,0.95,Yes,Reverse. Both share A011 risk.
D017,D018,0.8,Yes,"Same drug different delivery — inhaler vs syrup. Syrup slower acting, not suitable for acute attacks. Both share A012 and Cipla single source risk — if Cipla offline both are disrupted simultaneously. This is the most dangerous shared risk in the system."
D018,D017,0.8,Yes,Reverse. Inhaler is more effective for acute cases. Both share A012 risk.
D019,D004,0.85,Yes,Reverse of D004?D019. Both share A004.
D019,D006,0.72,No,Safe fallback when A004 disrupted.
D020,D007,0.88,No,Reverse of D007?D020. Clean substitute.
D020,D006,0.7,No,Reverse of D006?D020. Acceptable fallback.
